project,bug_id,mutant_no,operator,from,to,class,line,code_context,status,killed
Chart,17,1,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,173,"     * @param timePeriodClass  the type of time period (<code>null</code> not 
     *                         permitted).
     */
    public TimeSeries(Comparable name, String domain, String range, 
                      Class timePeriodClass) {
        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }",LIVE,0
Chart,17,2,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,174,"     *                         permitted).
     */
    public TimeSeries(Comparable name, String domain, String range, 
                      Class timePeriodClass) {
        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }
",LIVE,0
Chart,17,3,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,175,"     */
    public TimeSeries(Comparable name, String domain, String range, 
                      Class timePeriodClass) {
        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }

    /**",EXC,1
Chart,17,4,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,176,"    public TimeSeries(Comparable name, String domain, String range, 
                      Class timePeriodClass) {
        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }

    /**
     * Returns the domain description.",EXC,1
Chart,17,5,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,177,"                      Class timePeriodClass) {
        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }

    /**
     * Returns the domain description.
     *",FAIL,1
Chart,17,6,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,178,"        super(name);
        this.domain = domain;
        this.range = range;
        this.timePeriodClass = timePeriodClass;
        this.data = new java.util.ArrayList();
        this.maximumItemCount = Integer.MAX_VALUE;
        this.maximumItemAge = Long.MAX_VALUE;
    }

    /**
     * Returns the domain description.
     *
     * @return The domain description (possibly <code>null</code>).",FAIL,1
Chart,17,7,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,203,"     * @param description  the description (<code>null</code> permitted).
     * 
     * @see #getDomainDescription()
     */
    public void setDomainDescription(String description) {
        String old = this.domain;
        this.domain = description;
        firePropertyChange(""Domain"", old, description);
    }

    /**
     * Returns the range description.
     *",UNCOV,0
Chart,17,8,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,204,"     * 
     * @see #getDomainDescription()
     */
    public void setDomainDescription(String description) {
        String old = this.domain;
        this.domain = description;
        firePropertyChange(""Domain"", old, description);
    }

    /**
     * Returns the range description.
     *
     * @return The range description (possibly <code>null</code>).",UNCOV,0
Chart,17,9,STD,<ASSIGN>,<NO-OP>,org.jfree.data.time.TimeSeries,228,"     * @param description  the description (<code>null</code> permitted).
     * 
     * @see #getRangeDescription()
     */
    public void setRangeDescription(String description) {
        String old = this.range;
        this.range = description;
        firePropertyChange(""Range"", old, description);
    }

    /**
     * Returns the number of items in the series.
     *",UNCOV,0
Chart,17,10,STD,<CALL>,<NO-OP>,org.jfree.data.time.TimeSeries,229,"     * 
     * @see #getRangeDescription()
     */
    public void setRangeDescription(String description) {
        String old = this.range;
        this.range = description;
        firePropertyChange(""Range"", old, description);
    }

    /**
     * Returns the number of items in the series.
     *
     * @return The item count.",UNCOV,0
Chart,17,11,LVR,0,POS,org.jfree.data.time.TimeSeries,275,"     *
     * @param maximum  the maximum (requires >= 0).
     * 
     * @see #getMaximumItemCount()
     */
    public void setMaximumItemCount(int maximum) {
        if (maximum < 0) {
            throw new IllegalArgumentException(""Negative 'maximum' argument."");
        }
        this.maximumItemCount = maximum;
        int count = this.data.size();
        if (count > maximum) {
            delete(0, count - maximum - 1);",LIVE,0
