mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Chart-1-0001,Chart,1,1,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,250,1,0.15,0.15,38840,qwen3.6:latest
Chart-1-0002,Chart,1,2,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,251,1,0.15,0.15,15265,qwen3.6:latest
Chart-1-0003,Chart,1,3,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,252,1,0.1,0.1,13911,qwen3.6:latest
Chart-1-0004,Chart,1,4,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,253,1,0.15,0.15,15079,qwen3.6:latest
Chart-1-0005,Chart,1,5,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,255,1,0.15,0.15,18415,qwen3.6:latest
Chart-1-0006,Chart,1,6,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,256,1,0.15,0.15,15998,qwen3.6:latest
Chart-1-0007,Chart,1,7,LVR,arithmetic,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,267,0,0.85,0.85,15868,qwen3.6:latest
Chart-1-0008,Chart,1,8,LVR,arithmetic,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,267,0,0.25,0.25,15061,qwen3.6:latest
Chart-1-0009,Chart,1,9,ROR,relational,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,293,0,0.95,0.95,120239,qwen3.6:latest
Chart-1-0010,Chart,1,10,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,296,1,0.15,0.15,15379,qwen3.6:latest
Chart-1-0011,Chart,1,11,ROR,relational,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,319,0,0.85,0.85,18022,qwen3.6:latest
Chart-1-0012,Chart,1,12,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,320,0,0.15,0.15,16309,qwen3.6:latest
Chart-1-0013,Chart,1,13,LVR,arithmetic,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,350,0,0.85,0.85,17429,qwen3.6:latest
Chart-1-0014,Chart,1,14,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,350,1,0.15,0.15,16683,qwen3.6:latest
Chart-1-0015,Chart,1,15,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,367,1,0.15,0.15,16329,qwen3.6:latest
Chart-1-0016,Chart,1,16,COR,logical,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,368,0,0.85,0.85,15465,qwen3.6:latest
Chart-1-0017,Chart,1,17,COR,logical,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,368,0,0.85,0.85,15382,qwen3.6:latest
Chart-1-0018,Chart,1,18,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,369,0,0.15,0.15,15492,qwen3.6:latest
Chart-1-0019,Chart,1,19,LVR,arithmetic,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,394,0,0.85,0.85,16029,qwen3.6:latest
Chart-1-0020,Chart,1,20,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,394,1,0.15,0.15,15875,qwen3.6:latest
Chart-1-0021,Chart,1,21,STD,statement_deletion,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,410,1,0.15,0.15,15560,qwen3.6:latest
Chart-1-0022,Chart,1,22,COR,logical,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,411,0,0.85,0.85,15150,qwen3.6:latest
