mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Chart-17-0001,Chart,17,1,STD,statement_deletion,org.jfree.data.time.TimeSeries,173,1,0.15,0.15,4859,qwen3.6:latest
Chart-17-0002,Chart,17,2,STD,statement_deletion,org.jfree.data.time.TimeSeries,174,1,0.1,0.1,4141,qwen3.6:latest
Chart-17-0003,Chart,17,3,STD,statement_deletion,org.jfree.data.time.TimeSeries,175,0,0.15,0.15,4202,qwen3.6:latest
Chart-17-0004,Chart,17,4,STD,statement_deletion,org.jfree.data.time.TimeSeries,176,0,0.15,0.15,4087,qwen3.6:latest
Chart-17-0005,Chart,17,5,STD,statement_deletion,org.jfree.data.time.TimeSeries,177,1,0.1,0.1,4091,qwen3.6:latest
Chart-17-0006,Chart,17,6,STD,statement_deletion,org.jfree.data.time.TimeSeries,178,1,0.1,0.1,4037,qwen3.6:latest
Chart-17-0007,Chart,17,7,STD,statement_deletion,org.jfree.data.time.TimeSeries,203,1,0.15,0.15,4112,qwen3.6:latest
Chart-17-0008,Chart,17,8,STD,statement_deletion,org.jfree.data.time.TimeSeries,204,0,0.15,0.15,4107,qwen3.6:latest
Chart-17-0009,Chart,17,9,STD,statement_deletion,org.jfree.data.time.TimeSeries,228,1,0.15,0.15,4105,qwen3.6:latest
Chart-17-0010,Chart,17,10,STD,statement_deletion,org.jfree.data.time.TimeSeries,229,0,0.15,0.15,4035,qwen3.6:latest
Chart-17-0011,Chart,17,11,LVR,arithmetic,org.jfree.data.time.TimeSeries,275,0,0.85,0.85,4234,qwen3.6:latest
Chart-17-0012,Chart,17,12,LVR,arithmetic,org.jfree.data.time.TimeSeries,275,0,0.85,0.85,4370,qwen3.6:latest
Chart-17-0013,Chart,17,13,ROR,relational,org.jfree.data.time.TimeSeries,275,0,0.85,0.85,4115,qwen3.6:latest
Chart-17-0014,Chart,17,14,ROR,relational,org.jfree.data.time.TimeSeries,275,0,0.85,0.85,4060,qwen3.6:latest
Chart-17-0015,Chart,17,15,ROR,relational,org.jfree.data.time.TimeSeries,275,0,0.85,0.85,4117,qwen3.6:latest
Chart-17-0016,Chart,17,16,STD,statement_deletion,org.jfree.data.time.TimeSeries,278,1,0.85,0.85,4004,qwen3.6:latest
Chart-17-0017,Chart,17,17,ROR,relational,org.jfree.data.time.TimeSeries,280,1,0.85,0.85,4038,qwen3.6:latest
Chart-17-0018,Chart,17,18,ROR,relational,org.jfree.data.time.TimeSeries,280,0,0.85,0.85,4008,qwen3.6:latest
Chart-17-0019,Chart,17,19,ROR,relational,org.jfree.data.time.TimeSeries,280,1,0.85,0.85,4152,qwen3.6:latest
Chart-17-0020,Chart,17,20,LVR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4082,qwen3.6:latest
Chart-17-0021,Chart,17,21,LVR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4197,qwen3.6:latest
Chart-17-0022,Chart,17,22,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,0,0.85,0.85,4136,qwen3.6:latest
Chart-17-0023,Chart,17,23,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4010,qwen3.6:latest
Chart-17-0024,Chart,17,24,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4076,qwen3.6:latest
Chart-17-0025,Chart,17,25,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,0,0.85,0.85,4216,qwen3.6:latest
Chart-17-0026,Chart,17,26,LVR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4216,qwen3.6:latest
Chart-17-0027,Chart,17,27,LVR,arithmetic,org.jfree.data.time.TimeSeries,281,1,0.85,0.85,4210,qwen3.6:latest
Chart-17-0028,Chart,17,28,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,0,0.85,0.85,4308,qwen3.6:latest
Chart-17-0029,Chart,17,29,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,0,0.85,0.85,4064,qwen3.6:latest
Chart-17-0030,Chart,17,30,AOR,arithmetic,org.jfree.data.time.TimeSeries,281,0,0.85,0.85,4086,qwen3.6:latest
