project,bug_id,mutant_no,status,killed
Lang,1,1,FAIL,1
Lang,1,2,FAIL,1
Lang,1,3,FAIL,1
Lang,1,4,FAIL,1
Lang,1,5,FAIL,1
Lang,1,6,FAIL,1
Lang,1,7,FAIL,1
Lang,1,8,FAIL,1
Lang,1,9,FAIL,1
Lang,1,10,FAIL,1
Lang,1,11,FAIL,1
Lang,1,12,FAIL,1
Lang,1,13,UNCOV,0
Lang,1,14,UNCOV,0
Lang,1,15,UNCOV,0
Lang,1,16,UNCOV,0
Lang,1,17,UNCOV,0
Lang,1,18,UNCOV,0
Lang,1,19,UNCOV,0
Lang,1,20,UNCOV,0
Lang,1,21,UNCOV,0
Lang,1,22,UNCOV,0
Lang,1,23,UNCOV,0
Lang,1,24,UNCOV,0
Lang,1,25,FAIL,1
Lang,1,26,FAIL,1
Lang,1,27,FAIL,1
Lang,1,28,FAIL,1
Lang,1,29,FAIL,1
Lang,1,30,FAIL,1
Lang,1,31,FAIL,1
Lang,1,32,FAIL,1
Lang,1,33,FAIL,1
Lang,1,34,FAIL,1
Lang,1,35,FAIL,1
Lang,1,36,FAIL,1
Lang,1,37,FAIL,1
Lang,1,38,FAIL,1
Lang,1,39,FAIL,1
Lang,1,40,FAIL,1
Lang,1,41,LIVE,0
Lang,1,42,FAIL,1
Lang,1,43,FAIL,1
Lang,1,44,LIVE,0
Lang,1,45,FAIL,1
Lang,1,46,FAIL,1
Lang,1,47,EXC,1
Lang,1,48,FAIL,1
Lang,1,49,FAIL,1
Lang,1,50,EXC,1
Lang,1,51,UNCOV,0
Lang,1,52,UNCOV,0
Lang,1,53,LIVE,0
Lang,1,54,UNCOV,0
Lang,1,55,UNCOV,0
Lang,1,56,LIVE,0
Lang,1,57,EXC,1
Lang,1,58,EXC,1
Lang,1,59,EXC,1
Lang,1,60,EXC,1
Lang,1,61,FAIL,1
Lang,1,62,EXC,1
Lang,1,63,EXC,1
Lang,1,64,EXC,1
Lang,1,65,EXC,1
Lang,1,66,EXC,1
Lang,1,67,LIVE,0
Lang,1,68,EXC,1
Lang,1,69,EXC,1
Lang,1,70,LIVE,0
Lang,1,71,LIVE,0
Lang,1,72,LIVE,0
Lang,1,73,EXC,1
Lang,1,74,EXC,1
Lang,1,75,EXC,1
Lang,1,76,LIVE,0
Lang,1,77,EXC,1
Lang,1,78,FAIL,1
Lang,1,79,FAIL,1
Lang,1,80,EXC,1
Lang,1,81,EXC,1
Lang,1,82,FAIL,1
Lang,1,83,EXC,1
Lang,1,84,EXC,1
Lang,1,85,EXC,1
Lang,1,86,EXC,1
Lang,1,87,FAIL,1
Lang,1,88,EXC,1
Lang,1,89,EXC,1
Lang,1,90,EXC,1
Lang,1,91,EXC,1
Lang,1,92,LIVE,0
Lang,1,93,EXC,1
Lang,1,94,LIVE,0
Lang,1,95,FAIL,1
Lang,1,96,EXC,1
Lang,1,97,FAIL,1
Lang,1,98,EXC,1
Lang,1,99,FAIL,1
Lang,1,100,EXC,1
Lang,1,101,LIVE,0
Lang,1,102,EXC,1
Lang,1,103,EXC,1
Lang,1,104,EXC,1
Lang,1,105,FAIL,1
Lang,1,106,FAIL,1
Lang,1,107,FAIL,1
Lang,1,108,FAIL,1
Lang,1,109,EXC,1
Lang,1,110,EXC,1
Lang,1,111,EXC,1
Lang,1,112,FAIL,1
Lang,1,113,LIVE,0
Lang,1,114,EXC,1
Lang,1,115,FAIL,1
Lang,1,116,FAIL,1
Lang,1,117,EXC,1
Lang,1,118,LIVE,0
Lang,1,119,EXC,1
Lang,1,120,FAIL,1
Lang,1,121,FAIL,1
Lang,1,122,LIVE,0
Lang,1,123,EXC,1
Lang,1,124,EXC,1
Lang,1,125,FAIL,1
Lang,1,126,EXC,1
Lang,1,127,EXC,1
Lang,1,128,FAIL,1
Lang,1,129,EXC,1
Lang,1,130,EXC,1
Lang,1,131,EXC,1
Lang,1,132,EXC,1
Lang,1,133,EXC,1
Lang,1,134,EXC,1
Lang,1,135,EXC,1
Lang,1,136,FAIL,1
Lang,1,137,EXC,1
Lang,1,138,EXC,1
Lang,1,139,FAIL,1
Lang,1,140,EXC,1
Lang,1,141,FAIL,1
Lang,1,142,LIVE,0
Lang,1,143,LIVE,0
Lang,1,144,FAIL,1
Lang,1,145,EXC,1
Lang,1,146,LIVE,0
Lang,1,147,EXC,1
Lang,1,148,EXC,1
Lang,1,149,LIVE,0
Lang,1,150,LIVE,0
Lang,1,151,LIVE,0
Lang,1,152,EXC,1
Lang,1,153,FAIL,1
Lang,1,154,EXC,1
Lang,1,155,LIVE,0
Lang,1,156,EXC,1
Lang,1,157,EXC,1
Lang,1,158,LIVE,0
Lang,1,159,EXC,1
Lang,1,160,LIVE,0
Lang,1,161,EXC,1
Lang,1,162,EXC,1
Lang,1,163,EXC,1
Lang,1,164,FAIL,1
Lang,1,165,FAIL,1
Lang,1,166,FAIL,1
Lang,1,167,FAIL,1
Lang,1,168,FAIL,1
Lang,1,169,FAIL,1
Lang,1,170,LIVE,0
Lang,1,171,EXC,1
Lang,1,172,LIVE,0
Lang,1,173,LIVE,0
Lang,1,174,EXC,1
Lang,1,175,LIVE,0
Lang,1,176,EXC,1
Lang,1,177,EXC,1
Lang,1,178,FAIL,1
Lang,1,179,LIVE,0
Lang,1,180,LIVE,0
Lang,1,181,LIVE,0
Lang,1,182,EXC,1
Lang,1,183,LIVE,0
Lang,1,184,FAIL,1
Lang,1,185,LIVE,0
Lang,1,186,EXC,1
Lang,1,187,LIVE,0
Lang,1,188,EXC,1
Lang,1,189,FAIL,1
Lang,1,190,LIVE,0
Lang,1,191,EXC,1
Lang,1,192,LIVE,0
Lang,1,193,FAIL,1
Lang,1,194,EXC,1
Lang,1,195,EXC,1
Lang,1,196,LIVE,0
Lang,1,197,LIVE,0
Lang,1,198,LIVE,0
Lang,1,199,EXC,1
Lang,1,200,LIVE,0
Lang,1,201,EXC,1
Lang,1,202,EXC,1
Lang,1,203,LIVE,0
Lang,1,204,EXC,1
Lang,1,205,EXC,1
Lang,1,206,EXC,1
Lang,1,207,LIVE,0
Lang,1,208,EXC,1
Lang,1,209,LIVE,0
Lang,1,210,LIVE,0
Lang,1,211,LIVE,0
Lang,1,212,EXC,1
Lang,1,213,EXC,1
Lang,1,214,LIVE,0
Lang,1,215,LIVE,0
Lang,1,216,LIVE,0
