mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Math-1-0001,Math,1,1,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,45,1,0.95,0.95,1577,qwen3.6:latest
Math-1-0002,Math,1,2,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,45,1,0.15,0.15,1408,qwen3.6:latest
Math-1-0003,Math,1,3,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,48,1,0.95,0.95,1414,qwen3.6:latest
Math-1-0004,Math,1,4,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,48,1,0.95,0.95,1420,qwen3.6:latest
Math-1-0005,Math,1,5,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,51,1,0.9,0.9,1415,qwen3.6:latest
Math-1-0006,Math,1,6,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,51,1,0.9,0.9,1454,qwen3.6:latest
Math-1-0007,Math,1,7,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,54,1,0.2,0.2,1468,qwen3.6:latest
Math-1-0008,Math,1,8,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,54,1,0.1,0.1,1443,qwen3.6:latest
Math-1-0009,Math,1,9,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,57,0,0.9,0.9,1459,qwen3.6:latest
Math-1-0010,Math,1,10,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,57,0,0.15,0.15,1463,qwen3.6:latest
Math-1-0011,Math,1,11,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,57,1,0.9,0.9,1411,qwen3.6:latest
Math-1-0012,Math,1,12,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,57,0,0.15,0.15,1425,qwen3.6:latest
Math-1-0013,Math,1,13,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,60,0,0.15,0.15,1449,qwen3.6:latest
Math-1-0014,Math,1,14,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,60,0,0.15,0.15,1476,qwen3.6:latest
Math-1-0015,Math,1,15,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,60,1,0.15,0.15,1499,qwen3.6:latest
Math-1-0016,Math,1,16,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,60,0,0.15,0.15,1559,qwen3.6:latest
Math-1-0017,Math,1,17,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,63,0,0.15,0.15,1480,qwen3.6:latest
Math-1-0018,Math,1,18,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,63,1,0.1,0.1,1481,qwen3.6:latest
Math-1-0019,Math,1,19,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,63,1,0.15,0.15,1479,qwen3.6:latest
Math-1-0020,Math,1,20,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,63,1,0.1,0.1,1438,qwen3.6:latest
Math-1-0021,Math,1,21,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,66,0,0.9,0.9,1477,qwen3.6:latest
Math-1-0022,Math,1,22,LVR,arithmetic,org.apache.commons.math3.fraction.BigFraction,66,0,0.1,0.1,1475,qwen3.6:latest
