mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Time-1-0001,Time,1,1,LVR,arithmetic,org.joda.time.Partial,125,1,0.15,0.15,25471,qwen3.6:latest
Time-1-0002,Time,1,2,LVR,arithmetic,org.joda.time.Partial,125,1,0.15,0.15,4051,qwen3.6:latest
Time-1-0003,Time,1,3,LVR,arithmetic,org.joda.time.Partial,126,0,0.15,0.15,4044,qwen3.6:latest
Time-1-0004,Time,1,4,LVR,arithmetic,org.joda.time.Partial,126,1,0.15,0.15,4056,qwen3.6:latest
Time-1-0005,Time,1,5,STD,statement_deletion,org.joda.time.Partial,154,1,0.15,0.15,4135,qwen3.6:latest
Time-1-0006,Time,1,6,ROR,relational,org.joda.time.Partial,156,1,0.95,0.95,4157,qwen3.6:latest
Time-1-0007,Time,1,7,STD,statement_deletion,org.joda.time.Partial,161,1,0.15,0.15,4044,qwen3.6:latest
Time-1-0008,Time,1,8,STD,statement_deletion,org.joda.time.Partial,191,1,0.15,0.15,4081,qwen3.6:latest
Time-1-0009,Time,1,9,ROR,relational,org.joda.time.Partial,193,1,0.95,0.95,4208,qwen3.6:latest
Time-1-0010,Time,1,10,ROR,relational,org.joda.time.Partial,196,1,0.85,0.85,4045,qwen3.6:latest
Time-1-0011,Time,1,11,ROR,relational,org.joda.time.Partial,199,1,0.85,0.85,4079,qwen3.6:latest
Time-1-0012,Time,1,12,ROR,relational,org.joda.time.Partial,199,0,0.85,0.85,4067,qwen3.6:latest
Time-1-0013,Time,1,13,ROR,relational,org.joda.time.Partial,199,1,0.85,0.85,4010,qwen3.6:latest
Time-1-0014,Time,1,14,LVR,arithmetic,org.joda.time.Partial,202,0,0.15,0.15,4017,qwen3.6:latest
Time-1-0015,Time,1,15,LVR,arithmetic,org.joda.time.Partial,202,0,0.15,0.15,4010,qwen3.6:latest
Time-1-0016,Time,1,16,ROR,relational,org.joda.time.Partial,202,1,0.85,0.85,4023,qwen3.6:latest
Time-1-0017,Time,1,17,ROR,relational,org.joda.time.Partial,202,0,0.85,0.85,4206,qwen3.6:latest
Time-1-0018,Time,1,18,LVR,arithmetic,org.joda.time.Partial,207,1,0.15,0.15,3905,qwen3.6:latest
Time-1-0019,Time,1,19,LVR,arithmetic,org.joda.time.Partial,207,1,0.15,0.15,4091,qwen3.6:latest
Time-1-0020,Time,1,20,ROR,relational,org.joda.time.Partial,207,1,0.85,0.85,4113,qwen3.6:latest
Time-1-0021,Time,1,21,ROR,relational,org.joda.time.Partial,207,1,0.15,0.15,4185,qwen3.6:latest
Time-1-0022,Time,1,22,ROR,relational,org.joda.time.Partial,208,1,0.85,0.85,4448,qwen3.6:latest
Time-1-0023,Time,1,23,LVR,arithmetic,org.joda.time.Partial,213,1,0.85,0.85,4404,qwen3.6:latest
Time-1-0024,Time,1,24,LVR,arithmetic,org.joda.time.Partial,213,1,0.85,0.85,4282,qwen3.6:latest
