mutant_id,project,bug_id,mutant_no,operator,category,class,line,killed,llm_score,llm_raw_response,llm_latency_ms,model_used
Time-11-0001,Time,11,1,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,95,0,0.15,0.15,4005,qwen3.6:latest
Time-11-0002,Time,11,2,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,95,0,0.15,0.15,4013,qwen3.6:latest
Time-11-0003,Time,11,3,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,95,1,0.15,0.15,4006,qwen3.6:latest
Time-11-0004,Time,11,4,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,95,0,0.15,0.15,4175,qwen3.6:latest
Time-11-0005,Time,11,5,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,96,0,0.1,0.1,4042,qwen3.6:latest
Time-11-0006,Time,11,6,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,102,0,0.15,0.15,4025,qwen3.6:latest
Time-11-0007,Time,11,7,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,105,1,0.15,0.15,4083,qwen3.6:latest
Time-11-0008,Time,11,8,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,105,1,0.15,0.15,4007,qwen3.6:latest
Time-11-0009,Time,11,9,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,105,0,0.25,0.25,4040,qwen3.6:latest
Time-11-0010,Time,11,10,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,105,0,0.25,0.25,4021,qwen3.6:latest
Time-11-0011,Time,11,11,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,105,1,0.15,0.15,4106,qwen3.6:latest
Time-11-0012,Time,11,12,COR,logical,org.joda.time.tz.ZoneInfoCompiler,107,1,0.15,0.15,4125,qwen3.6:latest
Time-11-0013,Time,11,13,COR,logical,org.joda.time.tz.ZoneInfoCompiler,107,1,0.15,0.15,4108,qwen3.6:latest
Time-11-0014,Time,11,14,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,108,1,0.15,0.15,4022,qwen3.6:latest
Time-11-0015,Time,11,15,COR,logical,org.joda.time.tz.ZoneInfoCompiler,109,1,0.15,0.15,4111,qwen3.6:latest
Time-11-0016,Time,11,16,COR,logical,org.joda.time.tz.ZoneInfoCompiler,109,1,0.15,0.15,4078,qwen3.6:latest
Time-11-0017,Time,11,17,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,110,1,0.1,0.1,3979,qwen3.6:latest
Time-11-0018,Time,11,18,COR,logical,org.joda.time.tz.ZoneInfoCompiler,111,0,0.15,0.15,4055,qwen3.6:latest
Time-11-0019,Time,11,19,COR,logical,org.joda.time.tz.ZoneInfoCompiler,111,1,0.15,0.15,4095,qwen3.6:latest
Time-11-0020,Time,11,20,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,112,0,0.15,0.15,4064,qwen3.6:latest
Time-11-0021,Time,11,21,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,112,0,0.15,0.15,4124,qwen3.6:latest
Time-11-0022,Time,11,22,COR,logical,org.joda.time.tz.ZoneInfoCompiler,113,0,0.15,0.15,4041,qwen3.6:latest
Time-11-0023,Time,11,23,COR,logical,org.joda.time.tz.ZoneInfoCompiler,113,1,0.15,0.15,4012,qwen3.6:latest
Time-11-0024,Time,11,24,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,114,0,0.15,0.15,3981,qwen3.6:latest
Time-11-0025,Time,11,25,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,120,0,0.1,0.1,3922,qwen3.6:latest
Time-11-0026,Time,11,26,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,125,0,0.75,0.75,4025,qwen3.6:latest
Time-11-0027,Time,11,27,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,125,0,0.75,0.75,4038,qwen3.6:latest
Time-11-0028,Time,11,28,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,125,1,0.15,0.15,4002,qwen3.6:latest
Time-11-0029,Time,11,29,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,126,0,0.1,0.1,4040,qwen3.6:latest
Time-11-0030,Time,11,30,AOR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,130,0,0.85,0.85,3965,qwen3.6:latest
Time-11-0031,Time,11,31,AOR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,130,1,0.85,0.85,4005,qwen3.6:latest
Time-11-0032,Time,11,32,AOR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,130,1,0.85,0.85,3986,qwen3.6:latest
Time-11-0033,Time,11,33,AOR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,130,0,0.85,0.85,4010,qwen3.6:latest
Time-11-0034,Time,11,34,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,131,1,0.15,0.15,4050,qwen3.6:latest
Time-11-0035,Time,11,35,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,131,1,0.15,0.15,4102,qwen3.6:latest
Time-11-0036,Time,11,36,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,131,0,0.15,0.15,4063,qwen3.6:latest
Time-11-0037,Time,11,37,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,131,1,0.25,0.25,4062,qwen3.6:latest
Time-11-0038,Time,11,38,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,131,1,0.25,0.25,4079,qwen3.6:latest
Time-11-0039,Time,11,39,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,132,0,0.15,0.15,4029,qwen3.6:latest
Time-11-0040,Time,11,40,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,132,1,0.15,0.15,4021,qwen3.6:latest
Time-11-0041,Time,11,41,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,135,0,0.15,0.15,4121,qwen3.6:latest
Time-11-0042,Time,11,42,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,137,1,0.15,0.15,4096,qwen3.6:latest
Time-11-0043,Time,11,43,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,141,0,0.1,0.1,3998,qwen3.6:latest
Time-11-0044,Time,11,44,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,142,0,0.1,0.1,4001,qwen3.6:latest
Time-11-0045,Time,11,45,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,143,0,0.1,0.1,4111,qwen3.6:latest
Time-11-0046,Time,11,46,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,144,0,0.1,0.1,4072,qwen3.6:latest
Time-11-0047,Time,11,47,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,145,0,0.1,0.1,3978,qwen3.6:latest
Time-11-0048,Time,11,48,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,149,1,0.15,0.15,4068,qwen3.6:latest
Time-11-0049,Time,11,49,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,150,1,0.1,0.1,4066,qwen3.6:latest
Time-11-0050,Time,11,50,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,156,0,0.15,0.15,4050,qwen3.6:latest
Time-11-0051,Time,11,51,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,157,0,0.1,0.1,3954,qwen3.6:latest
Time-11-0052,Time,11,52,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,170,1,0.15,0.15,4089,qwen3.6:latest
Time-11-0053,Time,11,53,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,170,1,0.15,0.15,4126,qwen3.6:latest
Time-11-0054,Time,11,54,COR,logical,org.joda.time.tz.ZoneInfoCompiler,173,0,0.15,0.15,4065,qwen3.6:latest
Time-11-0055,Time,11,55,COR,logical,org.joda.time.tz.ZoneInfoCompiler,173,0,0.15,0.15,4131,qwen3.6:latest
Time-11-0056,Time,11,56,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,175,0,0.15,0.15,4024,qwen3.6:latest
Time-11-0057,Time,11,57,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,176,1,0.15,0.15,4027,qwen3.6:latest
Time-11-0058,Time,11,58,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,177,1,0.85,0.85,4130,qwen3.6:latest
Time-11-0059,Time,11,59,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,177,0,0.85,0.85,4056,qwen3.6:latest
Time-11-0060,Time,11,60,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,177,0,0.75,0.75,4134,qwen3.6:latest
Time-11-0061,Time,11,61,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,177,1,0.75,0.75,4064,qwen3.6:latest
Time-11-0062,Time,11,62,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,177,0,0.85,0.85,3988,qwen3.6:latest
Time-11-0063,Time,11,63,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,181,0,0.15,0.15,3994,qwen3.6:latest
Time-11-0064,Time,11,64,COR,logical,org.joda.time.tz.ZoneInfoCompiler,182,0,0.15,0.15,3990,qwen3.6:latest
Time-11-0065,Time,11,65,COR,logical,org.joda.time.tz.ZoneInfoCompiler,182,0,0.15,0.15,4005,qwen3.6:latest
Time-11-0066,Time,11,66,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,184,0,0.15,0.15,3960,qwen3.6:latest
Time-11-0067,Time,11,67,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,185,0,0.15,0.15,3998,qwen3.6:latest
Time-11-0068,Time,11,68,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,186,0,0.15,0.15,4021,qwen3.6:latest
Time-11-0069,Time,11,69,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,186,0,0.85,0.85,4100,qwen3.6:latest
Time-11-0070,Time,11,70,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,186,0,0.75,0.75,4062,qwen3.6:latest
Time-11-0071,Time,11,71,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,186,0,0.75,0.75,4006,qwen3.6:latest
Time-11-0072,Time,11,72,ROR,relational,org.joda.time.tz.ZoneInfoCompiler,186,0,0.85,0.85,3992,qwen3.6:latest
Time-11-0073,Time,11,73,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,193,1,0.1,0.1,3963,qwen3.6:latest
Time-11-0074,Time,11,74,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,195,1,0.1,0.1,4014,qwen3.6:latest
Time-11-0075,Time,11,75,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,199,1,0.15,0.15,4082,qwen3.6:latest
Time-11-0076,Time,11,76,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,202,1,0.15,0.15,3986,qwen3.6:latest
Time-11-0077,Time,11,77,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,203,0,0.15,0.15,3992,qwen3.6:latest
Time-11-0078,Time,11,78,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,204,1,0.15,0.15,4021,qwen3.6:latest
Time-11-0079,Time,11,79,STD,statement_deletion,org.joda.time.tz.ZoneInfoCompiler,209,0,0.15,0.15,4008,qwen3.6:latest
Time-11-0080,Time,11,80,COR,logical,org.joda.time.tz.ZoneInfoCompiler,210,0,0.85,0.85,3988,qwen3.6:latest
Time-11-0081,Time,11,81,COR,logical,org.joda.time.tz.ZoneInfoCompiler,210,0,0.85,0.85,3995,qwen3.6:latest
Time-11-0082,Time,11,82,COR,logical,org.joda.time.tz.ZoneInfoCompiler,210,1,0.85,0.85,3995,qwen3.6:latest
Time-11-0083,Time,11,83,COR,logical,org.joda.time.tz.ZoneInfoCompiler,212,1,0.85,0.85,4012,qwen3.6:latest
Time-11-0084,Time,11,84,COR,logical,org.joda.time.tz.ZoneInfoCompiler,212,0,0.85,0.85,4083,qwen3.6:latest
Time-11-0085,Time,11,85,COR,logical,org.joda.time.tz.ZoneInfoCompiler,212,1,0.85,0.85,4065,qwen3.6:latest
Time-11-0086,Time,11,86,COR,logical,org.joda.time.tz.ZoneInfoCompiler,214,1,0.85,0.85,4020,qwen3.6:latest
Time-11-0087,Time,11,87,COR,logical,org.joda.time.tz.ZoneInfoCompiler,214,1,0.85,0.85,4025,qwen3.6:latest
Time-11-0088,Time,11,88,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,222,0,0.15,0.15,4082,qwen3.6:latest
Time-11-0089,Time,11,89,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,222,0,0.15,0.15,4060,qwen3.6:latest
Time-11-0090,Time,11,90,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,227,0,0.85,0.85,3998,qwen3.6:latest
Time-11-0091,Time,11,91,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,227,0,0.15,0.15,4019,qwen3.6:latest
Time-11-0092,Time,11,92,LVR,arithmetic,org.joda.time.tz.ZoneInfoCompiler,236,1,0.85,0.85,4039,qwen3.6:latest
